tcode,title,module,purpose,description,business_process,related_tables,related_tcodes,common_errors,authorization_objects,keywords
ZMM0654,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0655,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0656,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0657,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0658,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0659,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0660,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0661,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0662,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0663,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0664,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0665,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0666,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0667,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0668,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0669,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0670,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0671,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0672,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0673,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0674,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0675,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0676,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0677,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0678,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0679,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0680,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0681,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0682,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0683,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0684,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0685,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0686,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0687,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0688,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0689,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0690,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0691,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0692,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0693,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0694,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0695,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0696,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0697,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0698,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0699,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0700,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0701,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0702,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0703,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0704,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0705,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0706,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0707,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0708,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0709,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0710,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0711,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0712,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0713,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0714,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0715,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0716,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0717,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0718,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0719,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0720,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0721,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0722,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0723,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0724,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0725,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0726,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0727,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0728,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0729,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0730,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0731,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0732,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0733,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0734,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0735,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0736,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0737,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0738,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0739,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0740,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0741,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0742,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0743,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0744,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0745,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0746,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0747,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0748,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0749,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0750,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0751,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0752,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0753,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0754,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0755,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0756,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0757,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0758,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0759,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0760,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0761,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0762,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0763,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0764,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0765,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0766,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0767,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0768,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0769,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0770,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0771,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0772,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0773,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0774,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0775,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0776,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0777,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0778,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0779,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0780,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0781,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0782,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0783,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0784,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0785,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0786,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0787,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0788,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0789,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0790,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0791,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0792,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0793,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0794,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0795,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0796,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0797,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0798,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0799,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0800,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0801,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0802,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0803,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0804,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0805,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0806,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0807,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0808,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0809,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0810,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0811,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0812,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0813,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0814,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0815,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0816,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0817,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0818,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0819,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0820,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0821,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0822,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0823,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0824,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0825,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0826,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0827,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0828,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0829,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0830,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0831,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0832,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0833,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0834,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0835,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0836,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0837,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0838,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0839,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0840,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0841,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0842,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0843,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0844,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0845,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0846,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0847,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0848,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0849,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0850,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0851,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0852,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0853,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0854,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0855,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0856,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0857,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0858,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0859,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0860,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0861,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0862,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0863,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0864,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0865,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZPP0866,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0867,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0868,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0869,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0870,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0871,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0872,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
